CITY_ID;CITY_NAME;COU_ID
 000183001;Montevideo                    ; 000000183
 000184001;Toskent                       ; 000000184
 000185001;Port-Vila                     ; 000000185
 000186001;Barquisimeto                  ; 000000186
 000186002;Caracas                       ; 000000186
 000186003;Maracabo                      ; 000000186
 000186004;Valencia                      ; 000000186
 000187001;Hanoi                         ; 000000187
 000188001;Charlotte Amalie              ; 000000188
 000189001;El-Aain                       ; 000000189
 000190001;Sanaa                         ; 000000190
 000191001;Beograd                       ; 000000191
 000192001;Lusaka                        ; 000000192
 000193001;Harare                        ; 000000193
